hotel_name,location,price,room_type,beds,rating,rating_title,number_of_ratings,per_night,Log_number_of_ratings,Log_price,Size
Dar Al Janoub Hotel Apartments,Jeddah ,450,Economy Double or Twin Room,1,8.6,Fabulous,940,1,6.84587987526405,6.1092475827643700,35
غروب الشمس للشقق المفروشه,Jazan  ,150,One-Bedroom Apartment,2,6.4,Very good,13,1,2.5649493574615400,5.0106352940962600,30
فندق أعيان المعابدة,Makkah  ,59,Double Room with Private Bathroom,2,8.1,Good,35,1,3.5553480614894100,4.07753744390572,37
TIME Dammam Residence,Dammam  ,238,One-Bedroom Apartment,1,7.9,Good,968,1,6.875232087276580,5.472270673671480,28
the blue Diamond 17,Dammam  ,69,Economy Triple Room,3,4.6,Very good,17,1,2.833213344056220,4.23410650459726,40
Armada Hotel Jazan,Jazan ,234,Deluxe Room,1,8.5,Good,1250,1,7.1308988302963500,5.455321115357700,28
فندق جواد التاج Jawad Al-Taj Hotel,Makkah,157,Economy Double Room,2,6.0,Very good,600,1,6.396929655216150,5.056245805348310,28
AlMuhaidb Residence Alkhafji,Al Khafji  ,239,Superior Double Room,1,8.4,Good,1252,1,7.132497551660040,5.476463551931510,35
Al Eairy Apartments - Al Madinah 14,Madinah,65,Double or Twin Room,1,5.9,Very good,1541,1,7.340186835320120,4.174387269895640,29
AlBaha Palace Furnished Apartment,Al Baha  ,221,Double Room,1,7.6,Good,400,1,5.991464547107980,5.3981627015177500,35
Holiday Plus Hotel Suites,Jeddah  ,404,Two-Bedroom Apartment,3,8.1,Good,249,1,5.517452896464710,6.0014148779611500,30
Waqf Al Sherbiny 3,Madinah,100,Standard Studio,1,8.1,Good,296,1,5.69035945432406,4.605170185988090,37
Radisson Blu Resort Jizan,Jazan  ,534,Standard Room,1,7.6,Good,3436,1,8.142063283104150,6.280395838960200,28
أزد للشقق الفندقية,Tanomah  ,350,Superior Double or Twin Room with Mountain View,1,9.2,Superb,41,1,3.713572066704310,5.857933154483460,40
Crown Tower Hotel,Al Jubail  ,257,Standard Double Room,2,8.2,Good,1209,1,7.097548850614790,5.54907608489522,28
المنتدي,Abha ,75,Deluxe Double Room,1,4.5,Very good,154,1,5.0369526024136300,4.31748811353631,28
فندق الفيصل,Al Ula  ,250,One-Bedroom Apartment,2,5.9,Very good,12,1,2.4849066497880000,5.521460917862250,35
Al Denny Aparthotel,Jeddah  ,120,Double Room,1,7.0,Good,749,1,6.618738983517220,4.787491742782050,29
ضيوف جدة للشقق الفندقية,Jeddah  ,153,Studio,1,7.7,Good,305,1,5.720311776607410,5.030437921392440,35
ALolayan Plaza Hotel فندق العليان بلازا,Makkah  ,125,Standard  Room,2,7.8,Good,571,1,6.3473892096560100,4.8283137373023000,30
فندق الميار Almayar hotel,Madinah,210,Deluxe Queen Room,1,8.6,Fabulous,30,1,3.4011973816621600,5.3471075307174700,37
Methaq Hotel Suites 2,Riyadh ,270,One-Bedroom Suite,1,4.0,Very good,7,1,1.9459101490553100,5.598421958998380,28
Shataa Alula Apartment,Al Ula  ,350,One-Bedroom Apartment,1,8.3,Good,3,1,1.0986122886681100,5.857933154483460,40
"Luxury Modern Apartment, Alwaha- للعوائل فقط",King Abdullah Economic City ,891,Two-Bedroom Apartment,2,9.6,Exceptional,20,1,2.995732273553990,6.792344427470810,70
Najmat Manami Azizyya,Riyadh ,170,One-Bedroom Apartment,1,7.1,Good,111,1,4.709530201312330,5.135798437050260,28
Fakher Yanbu 3 Furnished Units,Yanbu  ,400,Suite with Sea View,1,7.9,Good,398,1,5.986452005284440,5.991464547107980,35
Zowar International Hotel,Madinah,159,Standard Twin Room,1,7.0,Good,1668,1,7.419380582918690,5.0689042022202300,29
Al Farhan Hotel Suites,Al Jubail  ,141,Deluxe Double Room (1 adult + 1 child),1,6.8,Very good,419,1,6.037870919922140,4.948759890378170,35
Hayah Al Waha Hotel,Madinah,93,Triple Room,3,5.9,Very good,2579,1,7.8551570058813400,4.532599493153260,30
Gacine Hotel,Madinah,235,Large Twin Room,2,8.9,Fabulous,637,1,6.456769655572160,5.459585514144160,37
Ramz Al Fakhamah,Taif  ,178,Deluxe King Studio,1,8.6,Fabulous,837,1,6.729824070489480,5.181783550292090,28
Open ApartHotel,Dammam  ,171,One-Bedroom Apartment,2,5.5,Very good,729,1,6.591673732008660,5.14166355650266,40
Elite Jeddah Hotel,Jeddah,295,Budget Double Room,2,7.8,Good,1395,1,7.240649694255470,5.68697535633982,28
Shahad Hotel,Riyadh  ,162,One-Bedroom Apartment,1,7.2,Good,15,1,2.70805020110221,5.087596335232380,28
Arif Housing Units,Buraydah  ,270,Standard King Room,1,8.7,Fabulous,627,1,6.440946540632920,5.598421958998380,35
Burj Alhayah Hotel Suites Alfalah,Riyadh  ,220,Studio,1,7.5,Good,731,1,6.594413459749780,5.393627546352360,29
Burj Al Faris Hotel Apartments,Jeddah  ,196,Studio,1,8.1,Good,923,1,6.827629234502850,5.278114659230520,35
Al Marwa Rayhaan by Rotana - Makkah,Makkah  ,314,Classic King Room Haram view,1,7.7,Good,8052,1,8.993675786759680,5.749392985908250,30
فندق سكناي رويالSuknai Royal Hotel,Hail  ,397,Standard King Room,1,8.9,Fabulous,81,1,4.394449154672440,5.983936280687190,37
Kayan Al Taif Hotel,Taif  ,254,Superior King Room,1,8.5,Good,1221,1,7.107425474110710,5.537334267018540,28
Four Seasons Stars Aparthotel,Al Jubail  ,140,King Studio,1,8.2,Good,74,1,4.30406509320417,4.941642422609300,40
المهيدب للوحدات السكنيه - حي البوادي,Jeddah,204,King Studio,1,8.5,Good,103,1,4.634728988229640,5.318119993844220,28
فندق لافيرا ان Lavera Inn Hotel,Riyadh ,366,Deluxe Double Room,1,8.2,Good,139,1,4.9344739331306900,5.902633333401370,28
New Suite,Riyadh ,194,Deluxe Room (1 adult + 2 children),1,7.4,Good,127,1,4.844187086458590,5.267858159063330,35
Lina Park 5,Al Khobar  ,135,One-Bedroom Apartment,1,6.7,Very good,441,1,6.089044875446850,4.90527477843843,29
Rosa Aparthotel,Buraydah  ,200,Double or Twin Room,1,6.1,Very good,124,1,4.820281565605040,5.298317366548040,35
Golden Bujari Hotel Al Khamis,Khamis Mushayt  ,523,Junior Suite,1,8.0,Good,523,1,6.259581464064920,6.259581464064920,30
"Crowne Plaza Jeddah, an IHG Hotel",Jeddah ,435,Standard Double Room,1,8.3,Good,1560,1,7.352441100243580,6.075346031088680,37
"Crowne Plaza Riyadh - RDC Hotel & Convention, an IHG Hotel",Riyadh  ,795,Deluxe Room with Two Beds - Non-Smoking,2,8.8,Fabulous,2137,1,7.667158255319150,6.678342114654330,28
"InterContinental Jeddah, an IHG Hotel",Jeddah ,702,Deluxe Room,1,7.9,Good,2785,1,7.932003152361390,6.553933404025810,40
"Crowne Plaza Riyadh Al Waha, an IHG Hotel",Riyadh  ,420,Superior Room,1,7.5,Good,1717,1,7.448333860897480,6.040254711277410,28
Gloria Inn Riyadh,Riyadh  ,300,Standard Room,1,8.0,Good,3964,1,8.285008895449880,5.703782474656200,28
جلنار المدينة,Madinah,210,One-Bedroom Apartment,1,7.7,Good,98,1,4.584967478670570,5.3471075307174700,35
Al Farhan Dumah Al Jandal,Dawmat al Jandal  ,152,Budget Single Room,1,8.2,Good,104,1,4.6443908991413700,5.0238805208462800,29
استراحة الشبعان,Shaban  ,150,One-Bedroom Apartment,2,0.0,Very good,0,1,-inf,5.0106352940962600,35
Areen Jeddah Suites Al Madina Road,Jeddah ,212,Junior Suite,1,7.3,Good,144,1,4.969813299576000,5.356586274672010,30
Radiha Hotel Suites,Taif ,180,Deluxe King Room,1,7.3,Good,273,1,5.60947179518496,5.19295685089021,37
إليت الحمراء - فرع الكورنيش,Ar Ruʼays  ,420,Suite with Sea View,2,8.1,Good,158,1,5.062595033026970,6.040254711277410,28
Sendan Residence,Dammam  ,360,One Bedroom Apartment,2,8.3,Good,2033,1,7.617267813628350,5.886104031450160,40
Top Stars Hotel,Al Hanakiyah  ,150,Deluxe Double Room with Bath,1,8.8,Fabulous,54,1,3.9889840465642700,5.0106352940962600,28
أورينتال رزيدنس الدمام,Dammam  ,450,Deluxe Double Room,1,8.5,Good,216,1,5.375278407684170,6.1092475827643700,28
روز للوحدات السكنيه,Al Thybiyah  ,185,Double or Twin Room with Bathroom,2,8.0,Good,44,1,3.784189633918260,5.220355825078320,35
كيان للأجنحة الفندقية,Ahad Rafidah  ,325,Deluxe King Room,1,9.3,Superb,130,1,4.867534450455580,5.783825182329740,29
Le Park Concord Hotel - Turaif,Ţurayf  ,250,Deluxe Suite,1,9.0,Superb,280,1,5.634789603169250,5.521460917862250,35
فندق كيان,Ahad Rafidah  ,225,Deluxe Double Room,1,8.3,Good,70,1,4.248495242049360,5.41610040220442,30
Mabiti Alula فندق مبيتي العلا,Al Ula  ,585,Superior Queen Room,1,8.3,Good,58,1,4.060443010546420,6.371611847231860,37
Alfaw Plaza Hotel,Sharurah ,220,Standard Single Room,1,8.8,Fabulous,67,1,4.204692619390970,5.393627546352360,28
Crystal Blue Rabigh 2,Rabigh  ,300,Deluxe Double Room (2 Adults + 1 Child),1,8.4,Good,243,1,5.493061443340550,5.703782474656200,40
ذوق الخيال بإدارة وتشغيل الضيافة بالاس,Jeddah,388,Superior One-Bedroom Apartment,1,8.9,Fabulous,238,1,5.472270673671480,5.961005339623270,28
Jeddah Seasons Furnished Apartments,Riyadh ,200,Family Suite,1,7.3,Good,98,1,4.584967478670570,5.298317366548040,28
فندق لؤلؤة المختارون,Riyadh ,60,Twin Room,2,6.0,Very good,18,1,2.8903717578961600,4.0943445622221,35
Novotel Riyadh Al Anoud,Riyadh  ,360,Superior Queen Room,1,7.2,Good,2943,1,7.987184748233470,5.886104031450160,29
Centro Waha by Rotana,Riyadh ,450,Standard Twin Room,2,7.5,Good,6614,1,8.796943893541740,6.1092475827643700,35
Novotel Yanbu Albahr,Yanbu  ,480,Superior Double Room,1,8.0,Good,2591,1,7.85979918056211,6.173786103901940,30
Mövenpick Hotel City Star Jeddah,Jeddah ,440,Superior King Room,1,8.5,Good,1614,1,7.3864708488298900,6.0867747269123100,37
"Holiday Inn Meydan, an IHG Hotel",Riyadh,285,Standard Room,1,7.6,Good,2406,1,7.785720896534620,5.652489180268650,28
"Holiday Inn Riyadh Al Qasr, an IHG Hotel",Riyadh,375,Standard Room,2,7.2,Good,4162,1,8.33375100695358,5.926926025970410,40
Dar Al Asalah Hotel-Apartments,Hotat bani tamim  ,200,One-Bedroom Apartment,1,7.8,Good,55,1,4.007333185232470,5.298317366548040,28
Four Points by Sheraton Makkah Al Naseem,Makkah  ,149,King Room,1,8.5,Good,13389,1,9.50218875329738,5.003946305945460,28
أجنحة سالين - للوحدات السكنية المفروشة,As Suwayfilah,99,Double Room with Private Bathroom,1,5.9,Very good,53,1,3.970291913552120,4.59511985013459,35
رمال الجزيره,Taif  ,170,One-Bedroom Apartment,1,6.3,Very good,153,1,5.030437921392440,5.135798437050260,29
M Hotel Makkah by Millennium,Makkah  ,120,Standard Twin Room,2,7.8,Good,5301,1,8.575650760987810,4.787491742782050,35
Carawan Hotel Jeddah - Al Naeem Near Al Danube Market in Madina Road,Jeddah ,270,Standard Twin Room,2,8.0,Good,1124,1,7.024649030453640,5.598421958998380,30
نظرة للشقق الفندقية,Al Khobar,436,One-Bedroom Apartment,2,7.9,Good,10,1,2.302585092994050,6.077642243349030,37
Riyadh Marriott Hotel,Riyadh  ,425,"Guest Room, 1 King",1,7.6,Good,895,1,6.796823718274860,6.052089168924420,28
Novotel Suites Riyadh Olaya,Riyadh ,400,Junior King Suite,1,7.2,Good,1558,1,7.351158226430690,5.991464547107980,40
"Holiday Inn Riyadh Izdihar, an IHG Hotel",Riyadh ,325,Standard Double Room - Non-Smoking,1,7.8,Good,1487,1,7.304515946460160,5.783825182329740,28
Hyatt House Jeddah Sari Street,Jeddah,425,Twin Studio,2,8.4,Good,2287,1,7.734996194022780,6.052089168924420,28
Sheraton Riyadh Hotel & Towers,Riyadh ,495,"Classic Room, Guest room, 1 Queen",1,8.0,Good,849,1,6.744059186311350,6.20455776256869,35
Executives Hotel - Olaya,Riyadh,473,Standard King Room,1,7.9,Good,5475,1,8.607947554684700,6.159095388491930,29
Etlalet Al-Sharm Apartments,Yanbu  ,450,Two-Bedroom Apartment,2,7.8,Good,209,1,5.342334251964810,6.1092475827643700,55
Lafontaine Jeddah Hotel,Jeddah  ,189,Deluxe Twin Room,2,6.8,Very good,1210,1,7.098375638590790,5.241747015059640,30
Jabal Omar Hyatt Regency Makkah,Makkah ,600,Twin Room,2,8.4,Good,20622,1,9.93411374607789,6.396929655216150,37
Lara Al Jawf Hotel Apartments,Arar  ,158,Standard Apartment,2,7.9,Good,283,1,5.645446897643240,5.062595033026970,28
Golden Tulip Buraidah Al Qassim,Buraydah  ,405,Standard Twin Room,2,7.5,Good,1182,1,7.074963197966040,6.003887067106540,40
Ibis Jeddah Malik Road,Jeddah,289,Standard Twin Room,2,7.9,Good,2579,1,7.8551570058813400,5.666426688112430,28
Centro Salama Jeddah by Rotana,Jeddah ,346,Queen Room,1,7.9,Good,3441,1,8.14351740579748,5.846438775057730,28
"Crowne Plaza Madinah, an IHG Hotel",Madinah,345,Standard Room,1,8.1,Good,3669,1,8.207674424355280,5.84354441703136,35
JEDDAH PALACE,Jeddah  ,150,Deluxe King Room,1,6.9,Very good,390,1,5.966146739123690,5.0106352940962600,29
Tulip Inn Al Dar Rawafed,Madinah,280,King Room with City View,1,7.9,Good,2227,1,7.708410667257370,5.634789603169250,35
"Holiday Inn Jeddah Al Salam, an IHG Hotel",Jeddah  ,301,Leisure King Room with Pool View - Smoking,1,7.4,Good,1913,1,7.556427969440250,5.707110264748880,30
Seven Garden's Hotel,Taif  ,365,King Studio,1,9.4,Superb,1135,1,7.034387929915500,5.8998973535824900,37
Glamour Inn جلامور ان,Jeddah,200,Budget Double Room,1,7.0,Good,223,1,5.407171771460120,5.298317366548040,28
Hayatt International1,Madinah,180,Economy Double Room,2,6.6,Very good,808,1,6.694562058521100,5.19295685089021,40
Le Meridien Towers Makkah,Makkah ,130,"Diplomatic Room, Twin/Single Beds",2,7.5,Good,4137,1,8.327726166461410,4.867534450455580,28
Novotel Jeddah Tahlia,Jeddah,396,Superior Double Room with Sofa Bed,1,8.0,Good,2787,1,7.932721027481950,5.981414211254480,28
"Assila, a Luxury Collection Hotel, Jeddah",Jeddah,950,"Deluxe Guest Room, 1 King, City View",1,8.9,Fabulous,789,1,6.670766320845870,6.856461984594590,35
M Hotel Al Dana Makkah by Millennium,Makkah ,136,Standard Double Room,1,8.5,Good,1900,1,7.549609165154530,4.912654885736050,29
Aronani Hotel,Hail ,290,Standard  Room,2,6.9,Very good,914,1,6.81783057145415,5.66988092298052,35
Nights Jeddah Hotel,Jeddah ,240,Standard King Room,1,7.5,Good,3166,1,8.060224240440960,5.480638923341990,30
Golden Dune Hotel & Suite,Riyadh  ,359,Superior Double Room,1,8.1,Good,3176,1,8.063377822367030,5.883322388488280,37
Snood Al Azama Hotel,Makkah  ,85,Double or Twin Room,2,7.3,Good,2776,1,7.9287663216267000,4.442651256490320,28
Park Inn by Radisson Jeddah Madinah Road,Jeddah,414,Standard Room,1,8.5,Good,1455,1,7.282761179605590,6.025865973825310,40
Rose White Hotel,Jeddah,325,Double Room,1,8.2,Good,444,1,6.095824562432230,5.783825182329740,28
Golden Dream Hotel,Khamis Mushayt  ,340,Standard Double Room,1,8.1,Good,366,1,5.902633333401370,5.8289456176102100,28
"Burj Rafal Riyadh, a Marriott International Hotel",Riyadh  ,1000,"Deluxe, Guest room, 1 King, City view",1,7.9,Good,4620,1,8.438149984075780,6.907755278982140,35
Patto Suites,Al Baha ,180,Standard Apartment,1,6.7,Very good,1165,1,7.060476365999800,5.19295685089021,29
"The Ritz-Carlton, Riyadh",Riyadh  ,1400,Deluxe Guest Room With Twin Beds,1,8.6,Fabulous,3335,1,8.112227958349720,7.24422751560335,35
Dabab Hotel By Warwick,Riyadh ,450,Junior Suite,1,7.5,Good,2881,1,7.9658927350845300,6.1092475827643700,30
Adagio Jeddah City Center,Jeddah ,349,Double Studio,1,8.4,Good,166,1,5.111987788356540,5.855071922202430,37
Sukna Almosafer,Unayzah,140,Double Room,1,6.8,Very good,251,1,5.5254529391317800,4.941642422609300,28
Ramada by Wyndham Hotel Riyadh,Riyadh  ,330,Classic King Room - Smoking,1,7.2,Good,1800,1,7.495541943884260,5.799092654460530,40
Snood Al salam,Makkah  ,105,Quadruple Room with Bathroom,4,7.7,Good,1976,1,7.588829878307810,4.653960350157520,28
Makarem Umm Al Qura Hotel,Makkah  ,175,Deluxe Twin Room,2,7.7,Good,6673,1,8.805824812903610,5.1647859739235100,28
Hilton Riyadh Hotel & Residences,Riyadh  ,750,King Guest Room - Accessible,1,7.5,Good,10004,1,9.21074029199751,6.620073206530360,35
Hilton Garden Inn Riyadh Olaya,Riyadh ,325,Twin Room Plus,2,7.2,Good,590,1,6.380122536899770,5.783825182329740,29
فندق قمر جدة Qamar Hotel Jeddah,Jeddah,441,Standard Double Room,2,8.6,Fabulous,207,1,5.332718793265370,6.089044875446850,35
Taiba Madinah Hotel,Madinah,360,"Superior Room Twin bed, City View",1,8.0,Good,1292,1,7.163946684342550,5.886104031450160,30
Dist Inn Aparthotel,Hail,480,Penthouse Apartment,1,7.2,Good,816,1,6.704414354964110,6.173786103901940,37
Elaf Al Mashaer Hotel Makkah,Makkah  ,190,transient single room city view,1,7.5,Good,3944,1,8.279950715722530,5.247024072160490,28
Shada Hotel Al Shati,Jeddah,572,King Junior Room,1,8.8,Fabulous,1369,1,7.221835825288450,6.349138991379800,40
DoubleTree by Hilton Hotel Riyadh - Al Muroj Business Gate,Riyadh ,525,King Guest Room,1,7.7,Good,3339,1,8.113426639943650,6.263398262591620,28
Lamar Ajyad Hotel 2 - Tower B,Makkah  ,131,Deluxe King Room,1,7.8,Good,2571,1,7.852050207265890,4.875197323201150,28
Wakan Kinan,Jeddah,318,Suite,3,7.6,Good,664,1,6.498282149476430,5.762051382780180,35
Benzart Hotel Apartments,Ad Dawadimi,260,Deluxe Two-Bedroom Apartment,3,8.5,Good,254,1,5.537334267018540,5.560681631015530,29
"Prime Hotel - Jeddah, Al Hamra",Jeddah ,350,Junior Suite,1,8.3,Good,4858,1,8.488382109562120,5.857933154483460,35
Centro Shaheen Jeddah by Rotana,Jeddah,307,Queen Room,1,7.9,Good,3416,1,8.13622555490846,5.726847747587200,30
Lamar Ajyad Hotel,Makkah,145,Deluxe King Room,1,7.8,Good,2725,1,7.9102237070973400,4.976733742420570,37
Centro Olaya by Rotana,Riyadh ,490,Queen Room,1,7.9,Good,4132,1,8.326516830239530,6.194405391104670,28
"Marriott Executive Apartments Riyadh, Convention Center",Riyadh  ,950,One-Bedroom Apartment,1,8.2,Good,1112,1,7.013915474810530,6.856461984594590,40
VERTA Hotel,Jeddah,405,Executive Suite,1,7.9,Good,1113,1,7.014814351275550,6.003887067106540,28
Holiday Suites Al Aziziah,Makkah,220,Deluxe Twin Room,2,8.1,Good,10838,1,9.29081375612606,5.393627546352360,28
Motiara Hotel - La Valle Mall,Riyadh,490,Deluxe King Suite,1,8.1,Good,665,1,6.499787040655850,6.194405391104670,35
Seven Garden's Palace,Taif,314,Deluxe Room,1,9.3,Superb,875,1,6.774223886357610,5.749392985908250,29
Ramada by Wyndham Continental Jeddah,Jeddah,350,1 King Bed Superior Room,1,7.9,Good,1633,1,7.398174092970470,5.857933154483460,35
Le Meridien Makkah,Makkah,330,"Twin Haram View, Guest room, 2 Twin/Single Bed(s), City view",2,7.8,Good,5050,1,8.527143522269410,5.799092654460530,30
Hyatt Place Riyadh Sulaimania,Riyadh,500,King Room,1,8.6,Fabulous,1196,1,7.086737934510580,6.214608098422190,37
Marina Hotel,Rayyis,500,Two-Bedroom Apartment,3,8.3,Good,360,1,5.886104031450160,6.214608098422190,28
Signature Hotel,Jeddah,282,King Room,1,8.8,Fabulous,136,1,4.912654885736050,5.641907070938110,40
Shada Hotel Salama,Jeddah,401,Standard Queen Room,1,8.9,Fabulous,4798,1,8.47595444339964,5.993961427306570,28
Marriott Riyadh Diplomatic Quarter,Riyadh,1150,"Deluxe Room, Guest room, 1 King",1,8.4,Good,284,1,5.648974238161210,7.047517221357300,28
Mövenpick Hotel Jeddah,Jeddah ,333,Classic King Room,1,7.8,Good,3848,1,8.255308811785600,5.808142489980440,35
Al Waha Palace Hotel,Riyadh ,413,Deluxe King Room,1,7.9,Good,1995,1,7.598399329323960,6.023447592961030,29
Radisson Blu Hotel Riyadh Qurtuba,Riyadh,650,Standard Room,1,7.9,Good,413,1,6.023447592961030,6.476972362889680,35
Millennium Makkah Al Naseem,Makkah,143,Standard King Room,1,8.2,Good,5424,1,8.598588829620230,4.962844630259910,30
Swiss Spirit Hotel & Suites Taif,Taif,179,Large Double Room,1,7.3,Good,776,1,6.654152520183220,5.187385805840760,37
Grand Plaza Gulf Hotel - Riyadh,Riyadh,800,Executive Suite,1,8.0,Good,3024,1,8.014335737299420,6.684611727667930,28
Broad ApartHotel,Taif ,759,VIP Suite,1,8.6,Fabulous,781,1,6.660575149839690,6.63200177739563,40
Golden Tulip Riyadh,Riyadh,450,Classic Rooms King,1,9.3,Superb,146,1,4.983606621708340,6.1092475827643700,28
Sanam Hotel Suites - Riyadh,Riyadh ,299,Junior Suite,1,7.4,Good,2315,1,7.747164966520340,5.700443573390690,28
القصر المميز خميس مشيط,Khamis Mushayt,134,Deluxe Double Studio,1,7.9,Good,281,1,5.638354669333750,4.897839799950910,35
The Ritz-Carlton Jeddah,Jeddah  ,1575,"Deluxe Room, 2 Twin/Single Bed(s), City View",2,9.0,Superb,1340,1,7.200424892944960,7.362010551259730,29
Al Mutlaq Hotel Riyadh,Riyadh  ,270,Single Room,1,7.8,Good,551,1,6.311734809152920,5.598421958998380,35
Staytion First - Al Zahra,Jeddah,200,Studio Apartment,1,8.8,Fabulous,972,1,6.879355804460440,5.298317366548040,30
InterContinental Al Jubail Resort,Al Jubail,899,Standard Double or Twin Room,2,8.2,Good,1968,1,7.584773077612200,6.80128303447162,37
Riyadh Airport Marriott Hotel,Riyadh,1200,Deluxe Guest Room with Two Double Beds and Courtyard View,1,8.0,Good,1723,1,7.45182223652793,7.090076835776090,28
شاطئ الحياة للأجنحة الفندقية,Jeddah ,242,Studio,1,8.1,Good,380,1,5.940171252720430,5.488937726156690,40
فندق زوايا الماسية,Madinah,179,Studio,1,8.7,Fabulous,209,1,5.342334251964810,5.187385805840760,28
فندق فرج المدينه FARAJ ALMADINA HOTEL,Madinah,187,Budget Double Room,1,9.0,Superb,134,1,4.897839799950910,5.231108616854590,28
WA Hotel,Jeddah,1320,Deluxe Family Room,2,9.5,Exceptional,15,1,2.70805020110221,7.1853870155804200,35
"Crowne Plaza Hotel Riyadh Minhal, an IHG Hotel",Riyadh,445,Deluxe King Room - Smoking,1,8.7,Fabulous,1316,1,7.182352111885260,6.09807428216624,29
Loalat Al Rowdah Family,Jeddah,320,Two-Bedroom Apartment,4,7.8,Good,463,1,6.137727054086230,5.768320995793770,35
Almasem Luxury Hotel suite 6,Riyadh  ,259,Studio,1,7.6,Good,494,1,6.202535517187920,5.556828061699540,30
Sheraton Makkah Jabal Al Kaaba Hotel,Makkah  ,210,"Traditional Double City V, Guest room, 2 Twin/Single Bed(s)",2,7.6,Good,1641,1,7.403061091090090,5.3471075307174700,37
"Al Faisaliah Hotel, Riyadh",Riyadh ,1695,Superior Room King,1,8.2,Good,1398,1,7.242797922793760,7.43543801981455,28
Rotana Residence Apartments,Jeddah ,252,One-Bedroom Apartment,2,7.6,Good,635,1,6.453624998892690,5.529429087511420,40
Narcissus Hotel and SPA Riyadh,Riyadh  ,1100,Double Room,1,8.6,Fabulous,3439,1,8.142936010432270,7.003065458786460,28
Kyona Gold-Obhur,Jeddah  ,522,One-Bedroom Apartment,1,8.7,Fabulous,29,1,3.367295829986470,6.257667587882640,28
Braira Hotel-Olaya,Riyadh  ,522,Superior Double Room,1,8.6,Fabulous,3365,1,8.121183242078830,6.257667587882640,35
الفخامة للشقق الفندقية,Madinah,133,Deluxe Double Room,1,7.7,Good,80,1,4.382026634673880,4.890349128221750,29
South Hotel Suites,Khamis Mushayt,450,Deluxe Suite,3,8.9,Fabulous,351,1,5.860786223465870,6.1092475827643700,35
Al Waleed Tower Hotel,Makkah,118,Double Room,1,8.2,Good,2810,1,7.940939762327790,4.770684624465670,30
Habitat Hotel All Suites - Jeddah,Jeddah,475,Junior Suite with Twin Bed,3,8.0,Good,2220,1,7.705262474866330,6.163314804034640,44
Grand Silverton Hotel,Al Khobar,450,Superior Double Room,1,8.2,Good,2568,1,7.850882664809850,6.1092475827643700,28
"Dar Al Tawhid Intercontinental Makkah, an IHG Hotel",Makkah,690,Standard Room,2,8.8,Fabulous,5319,1,8.579040594742320,6.536691597591310,40
RAND by Wandalus (Formerly Coral Riyadh Suliemaniah),Riyadh ,400,Deluxe Double Room,1,7.6,Good,597,1,6.391917113392600,5.991464547107980,28
Gardens View,Taif,243,One-Bedroom Apartment,1,7.3,Good,318,1,5.762051382780180,5.493061443340550,28
Al Ramla Al Hamra Hotel,Taif,254,One-Bedroom Suite,1,8.4,Good,592,1,6.3835066348840100,5.537334267018540,35
Al Rahaa Furnished Units,Abha,169,One-Bedroom Apartment,1,7.8,Good,1378,1,7.228388451573600,5.1298987149230700,29
Mandaren Suites,Taif,400,Two-Bedroom Apartment,3,8.7,Fabulous,251,1,5.5254529391317800,5.991464547107980,35
Al Rawda Jewel Apartment Hotel,Jeddah ,245,Deluxe Apartment,1,8.0,Good,512,1,6.238324625039510,5.501258210544730,30
Dior Inn Hotel,Jeddah,360,Superior King Room,1,9.0,Superb,1411,1,7.252053951852810,5.886104031450160,37
Elite Suites Hotel - Al sahafah,Riyadh,450,One-Bedroom Apartment,1,7.9,Good,569,1,6.343880434126330,6.1092475827643700,28
Nadra Furnished Apartments,Taif,300,Two-Bedroom Apartment,3,6.8,Very good,268,1,5.5909869805108600,5.703782474656200,40
Narcissus Hotel and SPA Riyadh,Riyadh,1100,Double Room,1,8.6,Fabulous,3439,1,8.142936010432270,7.003065458786460,28
Braira Hotel-Olaya,Riyadh ,522,Superior Double Room,1,8.6,Fabulous,3365,1,8.121183242078830,6.257667587882640,28
Habitat Hotel All Suites - Jeddah,Jeddah  ,500,Junior Suite with Twin Bed,3,8.0,Good,2220,1,7.705262474866330,6.214608098422190,35
Grand Silverton Hotel,Al Khobar ,450,Superior Double Room,1,8.2,Good,2568,1,7.850882664809850,6.1092475827643700,29
Howard Johnson Dammam Hotel,Dammam,349,King Room with City View - Non-Smoking,1,7.7,Good,1868,1,7.532623618788790,5.855071922202430,35
Dior Inn Hotel,Jeddah  ,360,Superior King Room,1,9.0,Superb,1411,1,7.252053951852810,5.886104031450160,30
Elite Suites Hotel - Al sahafah,Riyadh  ,450,One-Bedroom Apartment,1,7.9,Good,569,1,6.343880434126330,6.1092475827643700,37
Makkah Towers,Makkah  ,350,2 Single Guestroom City View,3,8.0,Good,6138,1,8.722254235179680,5.857933154483460,28
Nadra Furnished Apartments,Taif  ,300,Two-Bedroom Apartment,3,6.8,Very good,268,1,5.5909869805108600,5.703782474656200,40
"Al Ahsa InterContinental, an IHG Hotel",Al Hofuf,602,Deluxe King Room - Non-Smoking,1,8.1,Good,996,1,6.903747257584600,6.400257445308820,28
Andalus Habitat Hotel,Jeddah,596,Studio with Sofa Bed,1,8.6,Fabulous,384,1,5.950642552587730,6.39024066706535,28
Sadeem Hotel Suites2,Jeddah,449,Two-Bedroom Suite,3,8.3,Good,405,1,6.003887067106540,6.1070228877422500,35
