"name","location","price","price_for","room_type","beds","rating","rating_title","number_of_ratings","url","cm"
"Park Hyatt Jeddah - Marina, Club and Spa","Jeddah Show on map","SAR 1,675","1 night, 2 adults","King Room","1 extra-large double bed","8.0","Very good","1,526 reviews","/hotel/sa/park-hyatt-jeddah-marina-club-spa.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AEB6AEB-AEMiAIBqAIDuALCxJ31BcACAdgCAg&sid=0b325f7ccfc8af04c91ebd62023be95e&all_sr_blocks=18381010_261895798_2_42_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=-3096108&dest_type=city&group_adults=2&group_children=0&hapos=88&highlighted_blocks=18381010_261895798_2_42_0&hpos=13&no_rooms=1&sr_order=popularity&sr_pri_blocks=18381010_261895798_2_42_0__167500&srepoch=1634543282&srpvid=9c3936d8d9dc0055&ucfs=1&sig=v1iIK3o3z4&from=searchresults
;highlight_room=#hotelTmpl","1 extra-large double bed"
"Waldorf Astoria Jeddah - Qasr Al Sharq","Al Shatiea, Jeddah Show on map","SAR 1,340","1 night, 2 adults","Qasr King Room","2 double beds","9.1","Superb","289 reviews","/hotel/sa/qasr-al-sharq.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AEB6AEB-AEMiAIBqAIDuALCxJ31BcACAdgCAg&sid=0b325f7ccfc8af04c91ebd62023be95e&all_sr_blocks=4591301_328152418_2_34_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=-3096108&dest_type=city&group_adults=2&group_children=0&hapos=89&highlighted_blocks=4591301_328152418_2_34_0&hpos=14&no_rooms=1&sr_order=popularity&sr_pri_blocks=4591301_328152418_2_34_0__134000&srepoch=1634543282&srpvid=9c3936d8d9dc0055&ucfs=1&sig=v1HeW7g2Ht&from=searchresults
;highlight_room=#hotelTmpl","2 double beds"
"Masken Noon Aprthotel","South Obhr, Jeddah Show on map","SAR 1,125","1 night, 2 adults","Suite with Hot Tub","1 extra-large double bed","7.5","Good","255 reviews","/hotel/sa/masken-non-aprthotel.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AEB6AEB-AEMiAIBqAIDuALCxJ31BcACAdgCAg&sid=0b325f7ccfc8af04c91ebd62023be95e&all_sr_blocks=205510216_95723081_0_0_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=-3096108&dest_type=city&group_adults=2&group_children=0&hapos=90&highlighted_blocks=205510216_95723081_0_0_0&hpos=15&no_rooms=1&sr_order=popularity&sr_pri_blocks=205510216_95723081_0_0_0__112500&srepoch=1634543282&srpvid=9c3936d8d9dc0055&ucfs=1&sig=v1z3Rp2t63&from=searchresults
;highlight_room=#hotelTmpl","Private suite­ 1 extra-large double bed"
"Mrakez Alarab Furnished Apartments 3","Jeddah Show on map","SAR 130","1 night, 2 adults","Budget Double Room","1 large double bed","7.9","Good","63 reviews","/hotel/sa/mrakez-alarab-furnished-apartments-3.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AEB6AEB-AEMiAIBqAIDuALCxJ31BcACAdgCAg&sid=0b325f7ccfc8af04c91ebd62023be95e&all_sr_blocks=208425107_241544150_2_0_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=-3096108&dest_type=city&group_adults=2&group_children=0&hapos=91&highlighted_blocks=208425107_241544150_2_0_0&hpos=16&no_rooms=1&sr_order=popularity&sr_pri_blocks=208425107_241544150_2_0_0__13000&srepoch=1634543282&srpvid=9c3936d8d9dc0055&ucfs=1&sig=v1miIr3o6O&from=searchresults
;highlight_room=#hotelTmpl","1 large double bed"
"Rolana Furnished Apartments","Jeddah Show on map","SAR 189","1 night, 2 adults","Deluxe Studio","1 extra-large double bed","7.5","Good","40 reviews","/hotel/sa/rolana-furnished-apartments.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AEB6AEB-AEMiAIBqAIDuALCxJ31BcACAdgCAg&sid=0b325f7ccfc8af04c91ebd62023be95e&all_sr_blocks=223862404_285716025_0_0_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=-3096108&dest_type=city&group_adults=2&group_children=0&hapos=92&highlighted_blocks=223862404_285716025_0_0_0&hpos=17&no_rooms=1&sr_order=popularity&sr_pri_blocks=223862404_285716025_0_0_0__18900&srepoch=1634543282&srpvid=9c3936d8d9dc0055&ucfs=1&sig=v1TFQRbS-E&from=searchresults
;highlight_room=#hotelTmpl","Entire studio­ •­ 1 bathroom •­ 20m² 1 extra-large double bed"
"Sama Park Hotel Apartments - Jeddah","King Abdul Aziz Road, Jeddah Show on map","SAR 313","1 night, 2 adults","Two-Bedroom Apartment","3 beds
(2 singles, 1 extra-large double)","7.1","Good","79 reviews","/hotel/sa/sama-park-apartments.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AEB6AEB-AEMiAIBqAIDuALCxJ31BcACAdgCAg&sid=0b325f7ccfc8af04c91ebd62023be95e&all_sr_blocks=194201505_169989187_0_0_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=-3096108&dest_type=city&group_adults=2&group_children=0&hapos=93&highlighted_blocks=194201505_169989187_0_0_0&hpos=18&no_rooms=1&sr_order=popularity&sr_pri_blocks=194201505_169989187_0_0_0__31320&srepoch=1634543282&srpvid=9c3936d8d9dc0055&ucfs=1&sig=v11yTuhWVf&from=searchresults
;highlight_room=#hotelTmpl","Entire apartment­ •­ 2 bedrooms •­ 2 bathrooms •­ 120m² 3 beds
(2 singles, 1 extra-large double)"
"Mais jeddah suites 1","Jeddah Show on map","SAR 189","1 night, 2 adults","Queen Studio","1 extra-large double bed","6.7","Review score","130 reviews","/hotel/sa/mais-jeddah-suites.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AEB6AEB-AEMiAIBqAIDuALCxJ31BcACAdgCAg&sid=0b325f7ccfc8af04c91ebd62023be95e&all_sr_blocks=202115402_226222308_2_0_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=-3096108&dest_type=city&group_adults=2&group_children=0&hapos=94&highlighted_blocks=202115402_226222308_2_0_0&hpos=19&no_rooms=1&sr_order=popularity&sr_pri_blocks=202115402_226222308_2_0_0__18900&srepoch=1634543282&srpvid=9c3936d8d9dc0055&ucfs=1&sig=v16HDNZCwE&from=searchresults
;highlight_room=#hotelTmpl","Entire studio­ •­ 1 bathroom •­ 25m² 1 extra-large double bed"
"Durrat Hira ApartHotel","Hera Street, Jeddah Show on map","SAR 163","1 night, 2 adults","Studio","1 large double bed","8.1","Very good","1,070 reviews","/hotel/sa/dr-hr-llwhdt-lskny-lmfrwsh.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AEB6AEB-AEMiAIBqAIDuALCxJ31BcACAdgCAg&sid=0b325f7ccfc8af04c91ebd62023be95e&all_sr_blocks=634923407_285585966_2_0_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=-3096108&dest_type=city&group_adults=2&group_children=0&hapos=95&highlighted_blocks=634923407_285585966_2_0_0&hpos=20&no_rooms=1&sr_order=popularity&sr_pri_blocks=634923407_285585966_2_0_0__16250&srepoch=1634543282&srpvid=9c3936d8d9dc0055&ucfs=1&sig=v1YjIayRMh&from=searchresults
;highlight_room=#hotelTmpl","Entire studio­ •­ 1 bathroom •­ 35m² 1 large double bed"
"Ebreez Hotel","Al Hamra, Jeddah Show on map","SAR 215","1 night, 2 adults","Superior King Room","1 extra-large double bed","7.5","Good","2,255 reviews","/hotel/sa/happybeach2.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AEB6AEB-AEMiAIBqAIDuALCxJ31BcACAdgCAg&sid=0b325f7ccfc8af04c91ebd62023be95e&all_sr_blocks=398804406_179895085_2_0_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=-3096108&dest_type=city&group_adults=2&group_children=0&hapos=96&highlighted_blocks=398804406_179895085_2_0_0&hpos=21&no_rooms=1&sr_order=popularity&sr_pri_blocks=398804406_179895085_2_0_0__21500&srepoch=1634543282&srpvid=9c3936d8d9dc0055&ucfs=1&sig=v1pfi6J31y&from=searchresults
;highlight_room=#hotelTmpl","1 extra-large double bed"
"A H Hotel","Jeddah Show on map","SAR 220","1 night, 2 adults","Two-Bedroom Apartment","4 beds
(3 singles, 1 large double)","8.1","Very good","2,130 reviews","/hotel/sa/ah.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AEB6AEB-AEMiAIBqAIDuALCxJ31BcACAdgCAg&sid=0b325f7ccfc8af04c91ebd62023be95e&all_sr_blocks=617531706_266383127_4_0_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=-3096108&dest_type=city&group_adults=2&group_children=0&hapos=97&highlighted_blocks=617531706_266383127_4_0_0&hpos=22&no_rooms=1&sr_order=popularity&sr_pri_blocks=617531706_266383127_4_0_0__22000&srepoch=1634543282&srpvid=9c3936d8d9dc0055&ucfs=1&sig=v1qaHtAyBk&from=searchresults
;highlight_room=#hotelTmpl","Entire apartment­ •­ 2 bedrooms •­ 1 living room •­ 1 bathroom •­ 70m² 4 beds
(3 singles, 1 large double)"
"Diamond Elite hotel","Jeddah Show on map","SAR 225","1 night, 2 adults","Deluxe Double Room","1 single bed","8.4","Very good","1,322 reviews","/hotel/sa/diamond-elite-corner-jeddah.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AEB6AEB-AEMiAIBqAIDuALCxJ31BcACAdgCAg&sid=0b325f7ccfc8af04c91ebd62023be95e&all_sr_blocks=514524704_269099303_2_2_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=-3096108&dest_type=city&group_adults=2&group_children=0&hapos=98&highlighted_blocks=514524704_269099303_2_2_0&hpos=23&no_rooms=1&sr_order=popularity&sr_pri_blocks=514524704_269099303_2_2_0__22500&srepoch=1634543282&srpvid=9c3936d8d9dc0055&ucfs=1&sig=v1QxpI-gw1&from=searchresults
;highlight_room=#hotelTmpl","1 single bed"
"Touq Balad","Jeddah Show on map","SAR 190","1 night, 2 adults","Superior Deluxe Double or Twin Room","2 single beds","8.5","Very good","506 reviews","/hotel/sa/twq-bld-jd.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AEB6AEB-AEMiAIBqAIDuALCxJ31BcACAdgCAg&sid=0b325f7ccfc8af04c91ebd62023be95e&all_sr_blocks=576637103_223216217_0_2_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=-3096108&dest_type=city&group_adults=2&group_children=0&hapos=99&highlighted_blocks=576637103_223216217_0_2_0&hpos=24&no_rooms=1&sr_order=popularity&sr_pri_blocks=576637103_223216217_0_2_0__19000&srepoch=1634543282&srpvid=9c3936d8d9dc0055&ucfs=1&sig=v1DjB8Cusq&from=searchresults
;highlight_room=#hotelTmpl","2 single beds"
"فندق ضيوف النباريس","Jeddah Show on map","SAR 85","1 night, 2 adults","Studio","Multiple bed types","5.4","Review score","676 reviews","/hotel/sa/guests-alnbaras-units.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AEB6AEB-AEMiAIBqAIDuALCxJ31BcACAdgCAg&sid=0b325f7ccfc8af04c91ebd62023be95e&all_sr_blocks=158917801_275591080_0_0_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=-3096108&dest_type=city&group_adults=2&group_children=0&hapos=100&highlighted_blocks=158917801_275591080_0_0_0&hpos=25&no_rooms=1&sr_order=popularity&sr_pri_blocks=158917801_275591080_0_0_0__8500&srepoch=1634543282&srpvid=9c3936d8d9dc0055&ucfs=1&sig=v1i43dWydr&from=searchresults
;highlight_room=#hotelTmpl","Private studio­ •­ 1 bathroom •­ 30m² Multiple bed types"
"وارفة للشقق المفروشة","Al Tahlia Street, Jeddah Show on map","SAR 170","1 night, 2 adults","Studio","1 extra-large double bed","7.2","Good","410 reviews","/hotel/sa/ryn-lthly.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AEB6AEB-AEMiAIBqAIDuALCxJ31BcACAdgCAg&sid=0b325f7ccfc8af04c91ebd62023be95e&all_sr_blocks=716483303_299074328_0_0_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=-3096108&dest_type=city&group_adults=2&group_children=0&hapos=101&highlighted_blocks=716483303_299074328_0_0_0&hpos=26&no_rooms=1&sr_order=popularity&sr_pri_blocks=716483303_299074328_0_0_0__17000&srepoch=1634543282&srpvid=9c3936d8d9dc0055&ucfs=1&sig=v17fB1mbZa&from=searchresults
;highlight_room=#hotelTmpl","Entire studio­ •­ 1 bathroom •­ 30m² 1 extra-large double bed"
"Freesia Hotel","Jeddah Show on map","SAR 234","1 night, 2 adults","Deluxe King Studio","1 large double bed","7.7","Good","60 reviews","/hotel/sa/freesia.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AEB6AEB-AEMiAIBqAIDuALCxJ31BcACAdgCAg&sid=0b325f7ccfc8af04c91ebd62023be95e&all_sr_blocks=755386003_332309508_2_0_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=-3096108&dest_type=city&group_adults=2&group_children=0&hapos=102&highlighted_blocks=755386003_332309508_2_0_0&hpos=27&no_rooms=1&sr_order=popularity&sr_pri_blocks=755386003_332309508_2_0_0__23400&srepoch=1634543282&srpvid=9c3936d8d9dc0055&ucfs=1&sig=v17WK0_L0k&from=searchresults
;highlight_room=#hotelTmpl","Private studio­ •­ 40m² 1 large double bed"
"Refal Homes","Al Rawda, Jeddah Show on map","SAR 405","1 night, 2 adults","One-Bedroom Suite","1 extra-large double bed","8.3","Very good","189 reviews","/hotel/sa/refal-homes.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AEB6AEB-AEMiAIBqAIDuALCxJ31BcACAdgCAg&sid=4c6a9f99e28eb75bdeb08a786f854953&all_sr_blocks=198161803_94379958_2_2_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=-3096108&dest_type=city&group_adults=2&group_children=0&hapos=101&highlighted_blocks=198161803_94379958_2_2_0&hpos=1&no_rooms=1&sr_order=popularity&sr_pri_blocks=198161803_94379958_2_2_0__40500&srepoch=1634543446&srpvid=4bff372ba76700e9&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl","Private suite­ •­ 1 bedroom •­ 1 living room •­ 1 bathroom •­ 38m² 1 extra-large double bed"
"Park Hyatt Jeddah - Marina, Club and Spa","Jeddah Show on map","SAR 1,675","1 night, 2 adults","King Room","1 extra-large double bed","8.0","Very good","1,526 reviews","/hotel/sa/park-hyatt-jeddah-marina-club-spa.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AEB6AEB-AEMiAIBqAIDuALCxJ31BcACAdgCAg&sid=4c6a9f99e28eb75bdeb08a786f854953&all_sr_blocks=18381010_261895798_2_42_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=-3096108&dest_type=city&group_adults=2&group_children=0&hapos=102&highlighted_blocks=18381010_261895798_2_42_0&hpos=2&no_rooms=1&sr_order=popularity&sr_pri_blocks=18381010_261895798_2_42_0__167500&srepoch=1634543446&srpvid=4bff372ba76700e9&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl","1 extra-large double bed"
"Waldorf Astoria Jeddah - Qasr Al Sharq","Al Shatiea, Jeddah Show on map","SAR 1,340","1 night, 2 adults","Qasr King Room","2 double beds","9.1","Superb","289 reviews","/hotel/sa/qasr-al-sharq.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AEB6AEB-AEMiAIBqAIDuALCxJ31BcACAdgCAg&sid=4c6a9f99e28eb75bdeb08a786f854953&all_sr_blocks=4591301_328152418_2_34_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=-3096108&dest_type=city&group_adults=2&group_children=0&hapos=103&highlighted_blocks=4591301_328152418_2_34_0&hpos=3&no_rooms=1&sr_order=popularity&sr_pri_blocks=4591301_328152418_2_34_0__134000&srepoch=1634543446&srpvid=4bff372ba76700e9&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl","2 double beds"
"Beach Time Villas Hotel - Family Villas","Al Shatiea, Jeddah Show on map","SAR 1,458","1 night, 2 adults","Three-Bedroom Villa","5 beds
(2 singles, 1 extra-large double, 1 sofa bed, 1 large double)","7.9","Good","674 reviews","/hotel/sa/time-beach-villas-resort.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AEB6AEB-AEMiAIBqAIDuALCxJ31BcACAdgCAg&sid=4c6a9f99e28eb75bdeb08a786f854953&all_sr_blocks=334322201_129241034_0_42_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=-3096108&dest_type=city&group_adults=2&group_children=0&hapos=104&highlighted_blocks=334322201_129241034_0_42_0&hpos=4&no_rooms=1&sr_order=popularity&sr_pri_blocks=334322201_129241034_0_42_0__145800&srepoch=1634543446&srpvid=4bff372ba76700e9&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl","Entire villa­ •­ 3 bedrooms •­ 1 living room •­ 2 bathrooms •­ 260m² 5 beds
(2 singles, 1 extra-large double, 1 sofa bed, 1 large double)"
"Semat ApartHotel","Al Salamah, Jeddah Show on map","SAR 240","1 night, 2 adults","One-Bedroom Apartment","1 large double bed","8.3","Very good","458 reviews","/hotel/sa/smt-llwhdt-lskny-lmfrwsh.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AEB6AEB-AEMiAIBqAIDuALCxJ31BcACAdgCAg&sid=4c6a9f99e28eb75bdeb08a786f854953&all_sr_blocks=646494101_265553008_2_0_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=-3096108&dest_type=city&group_adults=2&group_children=0&hapos=105&highlighted_blocks=646494101_265553008_2_0_0&hpos=5&no_rooms=1&sr_order=popularity&sr_pri_blocks=646494101_265553008_2_0_0__24000&srepoch=1634543446&srpvid=4bff372ba76700e9&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl","Entire apartment­ •­ 1 bedroom •­ 1 living room •­ 1 bathroom •­ 50m² 1 large double bed"
"Masken Noon Aprthotel","South Obhr, Jeddah Show on map","SAR 1,125","1 night, 2 adults","Suite with Hot Tub","1 extra-large double bed","7.5","Good","255 reviews","/hotel/sa/masken-non-aprthotel.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AEB6AEB-AEMiAIBqAIDuALCxJ31BcACAdgCAg&sid=4c6a9f99e28eb75bdeb08a786f854953&all_sr_blocks=205510216_95723081_0_0_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=-3096108&dest_type=city&group_adults=2&group_children=0&hapos=106&highlighted_blocks=205510216_95723081_0_0_0&hpos=6&no_rooms=1&sr_order=popularity&sr_pri_blocks=205510216_95723081_0_0_0__112500&srepoch=1634543446&srpvid=4bff372ba76700e9&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl","Private suite­ 1 extra-large double bed"
"Durrat Hira ApartHotel","Hera Street, Jeddah Show on map","SAR 163","1 night, 2 adults","Studio","1 large double bed","8.1","Very good","1,070 reviews","/hotel/sa/dr-hr-llwhdt-lskny-lmfrwsh.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AEB6AEB-AEMiAIBqAIDuALCxJ31BcACAdgCAg&sid=4c6a9f99e28eb75bdeb08a786f854953&all_sr_blocks=634923407_285585966_2_0_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=-3096108&dest_type=city&group_adults=2&group_children=0&hapos=107&highlighted_blocks=634923407_285585966_2_0_0&hpos=7&no_rooms=1&sr_order=popularity&sr_pri_blocks=634923407_285585966_2_0_0__16250&srepoch=1634543446&srpvid=4bff372ba76700e9&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl","Entire studio­ •­ 1 bathroom •­ 35m² 1 large double bed"
"Ebreez Hotel","Al Hamra, Jeddah Show on map","SAR 215","1 night, 2 adults","Superior King Room","1 extra-large double bed","7.5","Good","2,255 reviews","/hotel/sa/happybeach2.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AEB6AEB-AEMiAIBqAIDuALCxJ31BcACAdgCAg&sid=4c6a9f99e28eb75bdeb08a786f854953&all_sr_blocks=398804406_179895085_2_0_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=-3096108&dest_type=city&group_adults=2&group_children=0&hapos=108&highlighted_blocks=398804406_179895085_2_0_0&hpos=8&no_rooms=1&sr_order=popularity&sr_pri_blocks=398804406_179895085_2_0_0__21500&srepoch=1634543446&srpvid=4bff372ba76700e9&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl","1 extra-large double bed"
"Diamond Elite hotel","Jeddah Show on map","SAR 225","1 night, 2 adults","Deluxe Double Room","1 single bed","8.4","Very good","1,322 reviews","/hotel/sa/diamond-elite-corner-jeddah.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AEB6AEB-AEMiAIBqAIDuALCxJ31BcACAdgCAg&sid=4c6a9f99e28eb75bdeb08a786f854953&all_sr_blocks=514524704_269099303_2_2_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=-3096108&dest_type=city&group_adults=2&group_children=0&hapos=109&highlighted_blocks=514524704_269099303_2_2_0&hpos=9&no_rooms=1&sr_order=popularity&sr_pri_blocks=514524704_269099303_2_2_0__22500&srepoch=1634543446&srpvid=4bff372ba76700e9&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl","1 single bed"
"Touq Balad","Jeddah Show on map","SAR 190","1 night, 2 adults","Superior Deluxe Double or Twin Room","2 single beds","8.5","Very good","506 reviews","/hotel/sa/twq-bld-jd.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AEB6AEB-AEMiAIBqAIDuALCxJ31BcACAdgCAg&sid=4c6a9f99e28eb75bdeb08a786f854953&all_sr_blocks=576637103_223216217_0_2_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=-3096108&dest_type=city&group_adults=2&group_children=0&hapos=110&highlighted_blocks=576637103_223216217_0_2_0&hpos=10&no_rooms=1&sr_order=popularity&sr_pri_blocks=576637103_223216217_0_2_0__19000&srepoch=1634543446&srpvid=4bff372ba76700e9&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl","2 single beds"
"Orian Hotel","Jeddah Show on map","SAR 180","1 night, 2 adults","Standard Twin Room with Sofa","2 single beds","7.8","Good","154 reviews","/hotel/sa/bhr-ll-jnh-lfndqy.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AEB6AEB-AEMiAIBqAIDuALCxJ31BcACAdgCAg&sid=4c6a9f99e28eb75bdeb08a786f854953&all_sr_blocks=412188104_179323897_2_0_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=-3096108&dest_type=city&group_adults=2&group_children=0&hapos=111&highlighted_blocks=412188104_179323897_2_0_0&hpos=11&no_rooms=1&sr_order=popularity&sr_pri_blocks=412188104_179323897_2_0_0__18000&srepoch=1634543446&srpvid=4bff372ba76700e9&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl","2 single beds"
"Mrakez Alarab Furnished Apartments 3","Jeddah Show on map","SAR 130","1 night, 2 adults","Budget Double Room","1 large double bed","7.9","Good","63 reviews","/hotel/sa/mrakez-alarab-furnished-apartments-3.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AEB6AEB-AEMiAIBqAIDuALCxJ31BcACAdgCAg&sid=4c6a9f99e28eb75bdeb08a786f854953&all_sr_blocks=208425107_241544150_2_0_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=-3096108&dest_type=city&group_adults=2&group_children=0&hapos=112&highlighted_blocks=208425107_241544150_2_0_0&hpos=12&no_rooms=1&sr_order=popularity&sr_pri_blocks=208425107_241544150_2_0_0__13000&srepoch=1634543446&srpvid=4bff372ba76700e9&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl","1 large double bed"
"Afaq Jeddah","Jeddah Show on map","SAR 85","1 night, 2 adults","Budget Double Room","1 extra-large double bed","6.8","Review score","2,024 reviews","/hotel/sa/sunaa-al-riadah-furnished-unites.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AEB6AEB-AEMiAIBqAIDuALCxJ31BcACAdgCAg&sid=4c6a9f99e28eb75bdeb08a786f854953&all_sr_blocks=156613014_265603175_0_0_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=-3096108&dest_type=city&group_adults=2&group_children=0&hapos=113&highlighted_blocks=156613014_265603175_0_0_0&hpos=13&no_rooms=1&sr_order=popularity&sr_pri_blocks=156613014_265603175_0_0_0__8487&srepoch=1634543446&srpvid=4bff372ba76700e9&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl","1 extra-large double bed"
"Delmon Hotel Suites","Al Salamah, Jeddah Show on map","SAR 188","1 night, 2 adults","One-Bedroom Apartment","3 beds
(1 double, 2 sofa beds)","6.7","Review score","171 reviews","/hotel/sa/sultan-palace-for-suites2.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AEB6AEB-AEMiAIBqAIDuALCxJ31BcACAdgCAg&sid=4c6a9f99e28eb75bdeb08a786f854953&all_sr_blocks=39687911_327754849_0_0_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=-3096108&dest_type=city&group_adults=2&group_children=0&hapos=114&highlighted_blocks=39687911_327754849_0_0_0&hpos=14&no_rooms=1&sr_order=popularity&sr_pri_blocks=39687911_327754849_0_0_0__18750&srepoch=1634543446&srpvid=4bff372ba76700e9&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl","Entire apartment­ •­ 1 bedroom •­ 1 living room •­ 1 bathroom •­ 60m² 3 beds
(1 double, 2 sofa beds)"
"فندق ضيوف النباريس","Jeddah Show on map","SAR 85","1 night, 2 adults","Studio","Multiple bed types","5.4","Review score","676 reviews","/hotel/sa/guests-alnbaras-units.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AEB6AEB-AEMiAIBqAIDuALCxJ31BcACAdgCAg&sid=4c6a9f99e28eb75bdeb08a786f854953&all_sr_blocks=158917801_275591080_0_0_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=-3096108&dest_type=city&group_adults=2&group_children=0&hapos=115&highlighted_blocks=158917801_275591080_0_0_0&hpos=15&no_rooms=1&sr_order=popularity&sr_pri_blocks=158917801_275591080_0_0_0__8500&srepoch=1634543446&srpvid=4bff372ba76700e9&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl","Private studio­ •­ 1 bathroom •­ 30m² Multiple bed types"
