"name","location","price","price_for","room_type","beds","rating","rating_title","number_of_ratings","url","cm"
"Al Shuhada Almasi Furnished Apartments","Al Madinah Show on map","SAR 162","1 night, 2 adults","One-Bedroom Apartment","1 extra-large double bed","7.9","Good","158 reviews","/hotel/sa/lshhd-lmsy.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=dede9e04eec2dfd32df8b4017c29f4c9&all_sr_blocks=545969501_198461375_0_0_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=-3092186&dest_type=city&group_adults=2&group_children=0&hapos=14&highlighted_blocks=545969501_198461375_0_0_0&hpos=14&no_rooms=1&sr_order=popularity&sr_pri_blocks=545969501_198461375_0_0_0__16200&srepoch=1634546550&srpvid=d1663d3a55490008&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl","Entire apartment­ •­ 1 bedroom •­ 1 living room •­ 1 bathroom •­ 45m² 1 extra-large double bed"
"Frontel Al Harithia Hotel","Central Madinah, Al Madinah Show on map","SAR 260","1 night, 2 adults","Standard Twin Room","2 single beds","8.1","Very good","2,364 reviews","/hotel/sa/western-alharithia-madina.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=dede9e04eec2dfd32df8b4017c29f4c9&all_sr_blocks=29403328_94398643_0_42_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=-3092186&dest_type=city&group_adults=2&group_children=0&hapos=15&highlighted_blocks=29403328_94398643_0_42_0&hpos=15&no_rooms=1&sr_order=popularity&sr_pri_blocks=29403328_94398643_0_42_0__26000&srepoch=1634546550&srpvid=d1663d3a55490008&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl","2 single beds"
"Dar Al Taqwa Hotel","Central Madinah, Al Madinah Show on map","SAR 470","1 night, 2 adults","Deluxe King Room City View","1 large double bed","8.4","Very good","4,601 reviews","/hotel/sa/dar-al-taqwa.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=dede9e04eec2dfd32df8b4017c29f4c9&all_sr_blocks=29860628_191060240_0_33_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=-3092186&dest_type=city&group_adults=2&group_children=0&hapos=16&highlighted_blocks=29860628_191060240_0_33_0&hpos=16&no_rooms=1&sr_order=popularity&sr_pri_blocks=29860628_191060240_0_33_0__47025&srepoch=1634546550&srpvid=d1663d3a55490008&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl","1 large double bed"
"فندق فرج المدينه FARAJ ALMADINA HOTEL","Al Madinah Show on map","SAR 162","1 night, 2 adults","Budget Double Room","1 double bed","9.0","Superb","143 reviews","/hotel/sa/fndq-frj-lmdynh-faraj-almadina.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=dede9e04eec2dfd32df8b4017c29f4c9&all_sr_blocks=738539401_335268039_2_2_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=-3092186&dest_type=city&group_adults=2&group_children=0&hapos=17&highlighted_blocks=738539401_335268039_2_2_0&hpos=17&no_rooms=1&sr_order=popularity&sr_pri_blocks=738539401_335268039_2_2_0__16200&srepoch=1634546550&srpvid=d1663d3a55490008&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl","1 double bed"
"Reef Al Madina Furnished Units","Al Madinah Show on map","SAR 135","1 night, 2 adults","Deluxe Double Room","1 extra-large double bed","7.8","Good","625 reviews","/hotel/sa/ryf-lmdyn.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=dede9e04eec2dfd32df8b4017c29f4c9&all_sr_blocks=455041701_234277026_2_0_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=-3092186&dest_type=city&group_adults=2&group_children=0&hapos=18&highlighted_blocks=455041701_234277026_2_0_0&hpos=18&no_rooms=1&sr_order=popularity&sr_pri_blocks=455041701_234277026_2_0_0__13500&srepoch=1634546550&srpvid=d1663d3a55490008&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl","1 extra-large double bed"
"Le Bosphorus Al Madinah","Central Madinah, Al Madinah Show on map","SAR 300","1 night, 2 adults","Superior King Room","1 extra-large double bed","8.8","Fabulous","6,703 reviews","/hotel/sa/bosphorus.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=dede9e04eec2dfd32df8b4017c29f4c9&all_sr_blocks=198957303_170292890_0_2_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=-3092186&dest_type=city&group_adults=2&group_children=0&hapos=19&highlighted_blocks=198957303_170292890_0_2_0&hpos=19&no_rooms=1&sr_order=popularity&sr_pri_blocks=198957303_170292890_0_2_0__30000&srepoch=1634546550&srpvid=d1663d3a55490008&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl","1 extra-large double bed"
"Le Meridien Medina","Al Madinah Show on map","SAR 320","1 night, 2 adults","High Floor Standard King Bed, Sofa bed","1 extra-large double bed","7.9","Good","1,801 reviews","/hotel/sa/le-meridien-madina.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=dede9e04eec2dfd32df8b4017c29f4c9&all_sr_blocks=34025516_335374956_2_2_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=-3092186&dest_type=city&group_adults=2&group_children=0&hapos=20&highlighted_blocks=34025516_335374956_2_2_0&hpos=20&no_rooms=1&sr_order=popularity&sr_pri_blocks=34025516_335374956_2_2_0__32000&srepoch=1634546550&srpvid=d1663d3a55490008&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl","1 extra-large double bed"
"Dar Al Hijra InterContinental, an IHG Hotel","Central Madinah, Al Madinah Show on map","SAR 330","1 night, 2 adults","Twin Room","2 large double beds","8.2","Very good","5,419 reviews","/hotel/sa/dar-al-hijra-intercontinental.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=dede9e04eec2dfd32df8b4017c29f4c9&all_sr_blocks=7938544_246100502_2_42_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=-3092186&dest_type=city&group_adults=2&group_children=0&hapos=21&highlighted_blocks=7938544_246100502_2_42_0&hpos=21&no_rooms=1&sr_order=popularity&sr_pri_blocks=7938544_246100502_2_42_0__33000&srepoch=1634546550&srpvid=d1663d3a55490008&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl","2 large double beds"
"Shaza Madinah","Central Madinah, Al Madinah Show on map","SAR 409","1 night, 2 adults","Deluxe Room King Bed","1 extra-large double bed","8.3","Very good","4,341 reviews","/hotel/sa/shaza-al-madina.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=dede9e04eec2dfd32df8b4017c29f4c9&all_sr_blocks=27986901_310332493_2_42_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=-3092186&dest_type=city&group_adults=2&group_children=0&hapos=22&highlighted_blocks=27986901_310332493_2_42_0&hpos=22&no_rooms=1&sr_order=popularity&sr_pri_blocks=27986901_310332493_2_42_0__40850&srepoch=1634546550&srpvid=d1663d3a55490008&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl","1 extra-large double bed"
"Millennium Madinah Airport","Al Madinah Show on map","SAR 300","1 night, 2 adults","Deluxe King Room","1 extra-large double bed","8.2","Very good","774 reviews","/hotel/sa/millennium-madinah-airport.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=dede9e04eec2dfd32df8b4017c29f4c9&all_sr_blocks=336950501_118076802_0_41_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=-3092186&dest_type=city&group_adults=2&group_children=0&hapos=23&highlighted_blocks=336950501_118076802_0_41_0&hpos=23&no_rooms=1&sr_order=popularity&sr_pri_blocks=336950501_118076802_0_41_0__30000&srepoch=1634546550&srpvid=d1663d3a55490008&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl","1 extra-large double bed"
"Tulip Inn Al Dar Rawafed","Central Madinah, Al Madinah Show on map","SAR 250","1 night, 2 adults","King Room with City View","1 extra-large double bed","7.9","Good","2,229 reviews","/hotel/sa/tulip-inn-al-dar-madinah.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=dede9e04eec2dfd32df8b4017c29f4c9&all_sr_blocks=472717903_150595856_2_2_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=-3092186&dest_type=city&group_adults=2&group_children=0&hapos=24&highlighted_blocks=472717903_150595856_2_2_0&hpos=24&no_rooms=1&sr_order=popularity&sr_pri_blocks=472717903_150595856_2_2_0__25000&srepoch=1634546550&srpvid=d1663d3a55490008&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl","1 extra-large double bed"
"Reef Qaba Furnished units","Al Madinah Show on map","SAR 149","1 night, 2 adults","Deluxe Double Room","1 extra-large double bed","7.4","Good","366 reviews","/hotel/sa/ryf-qb.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=dede9e04eec2dfd32df8b4017c29f4c9&all_sr_blocks=584316401_233510975_2_0_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=-3092186&dest_type=city&group_adults=2&group_children=0&hapos=25&highlighted_blocks=584316401_233510975_2_0_0&hpos=25&no_rooms=1&sr_order=popularity&sr_pri_blocks=584316401_233510975_2_0_0__14900&srepoch=1634546550&srpvid=d1663d3a55490008&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl","1 extra-large double bed"
"Dar Al Taqwa Hotel","Central Madinah, Al Madinah Show on map","SAR 470","1 night, 2 adults","Deluxe King Room City View","1 large double bed","8.4","Very good","4,601 reviews","/hotel/sa/dar-al-taqwa.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=1dbd214cfef8ab47d89141c96a2528af&all_sr_blocks=29860628_191060240_0_33_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=-3092186&dest_type=city&group_adults=2&group_children=0&hapos=26&highlighted_blocks=29860628_191060240_0_33_0&hpos=1&no_rooms=1&sr_order=popularity&sr_pri_blocks=29860628_191060240_0_33_0__47025&srepoch=1634546802&srpvid=e3fd3db9c59f01ca&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl","1 large double bed"
"Ghalia Uhod","Al Madinah Show on map","SAR 170","1 night, 2 adults","Double or Twin Room","Multiple bed types","8.2","Very good","1,079 reviews","/hotel/sa/uuo-u-ooossuuo-c-opsoo-uuuoo-ossoa-ossuo3uuuo-c-ossuuuo-uo-o-c.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=1dbd214cfef8ab47d89141c96a2528af&all_sr_blocks=88340805_125409117_2_0_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=-3092186&dest_type=city&group_adults=2&group_children=0&hapos=27&highlighted_blocks=88340805_125409117_2_0_0&hpos=2&no_rooms=1&sr_order=popularity&sr_pri_blocks=88340805_125409117_2_0_0__17000&srepoch=1634546802&srpvid=e3fd3db9c59f01ca&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl","Multiple bed types"
"فندق زوايا الماسية","Al Madinah Show on map","SAR 179","1 night, 2 adults","Family Suite","3 beds
(2 singles, 1 sofa bed)","8.7","Fabulous","211 reviews","/hotel/sa/zwb-lmsy.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=1dbd214cfef8ab47d89141c96a2528af&all_sr_blocks=698949102_289901828_0_0_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=-3092186&dest_type=city&group_adults=2&group_children=0&hapos=28&highlighted_blocks=698949102_289901828_0_0_0&hpos=3&no_rooms=1&sr_order=popularity&sr_pri_blocks=698949102_289901828_0_0_0__17910&srepoch=1634546802&srpvid=e3fd3db9c59f01ca&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl","Private suite­ •­ 1 bedroom •­ 1 living room •­ 1 bathroom •­ 40m² 3 beds
(2 singles, 1 sofa bed)"
"Season Star Hotel Madinah فندق سيزون ستار المدينة","Al Madinah Show on map","SAR 318","1 night, 2 adults","Deluxe Double Room","1 extra-large double bed","8.9","Fabulous","256 reviews","/hotel/sa/season-star-madinah.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=1dbd214cfef8ab47d89141c96a2528af&all_sr_blocks=651688502_335440579_2_2_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=-3092186&dest_type=city&group_adults=2&group_children=0&hapos=29&highlighted_blocks=651688502_335440579_2_2_0&hpos=4&no_rooms=1&sr_order=popularity&sr_pri_blocks=651688502_335440579_2_2_0__31813&srepoch=1634546802&srpvid=e3fd3db9c59f01ca&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl","1 extra-large double bed"
"Marriott Executive Apartments Madinah","Al Madinah Show on map","SAR 850","1 night, 2 adults","Studio Apartment, 2 Double, Sofa bed, Garden view","3 beds
(2 doubles, 1 sofa bed)","9.0","Superb","895 reviews","/hotel/sa/marriott-executive-apartments-madinah.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=1dbd214cfef8ab47d89141c96a2528af&all_sr_blocks=194455920_234491063_0_1_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=-3092186&dest_type=city&group_adults=2&group_children=0&hapos=30&highlighted_blocks=194455920_234491063_0_1_0&hpos=5&no_rooms=1&sr_order=popularity&sr_pri_blocks=194455920_234491063_0_1_0__85000&srepoch=1634546802&srpvid=e3fd3db9c59f01ca&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl","3 beds
(2 doubles, 1 sofa bed)"
"Mirage Al Salam Hotel","Central Madinah, Al Madinah Show on map","SAR 125","1 night, 2 adults","Basic Triple Room","3 single beds","7.2","Good","2,536 reviews","/hotel/sa/fndq-mrj-lslm.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=1dbd214cfef8ab47d89141c96a2528af&all_sr_blocks=206902703_95413950_3_34_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=-3092186&dest_type=city&group_adults=2&group_children=0&hapos=31&highlighted_blocks=206902703_95413950_3_34_0&hpos=6&no_rooms=1&sr_order=popularity&sr_pri_blocks=206902703_95413950_3_34_0__12500&srepoch=1634546802&srpvid=e3fd3db9c59f01ca&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl","3 single beds"
"Al Madina Golden Hotel فندق المدينة الذهبي","Central Madinah, Al Madinah Show on map","SAR 195","1 night, 2 adults","Twin Room with Partial Haram View","2 single beds","8.0","Very good","57 reviews","/hotel/sa/al-madina-golden.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=1dbd214cfef8ab47d89141c96a2528af&all_sr_blocks=763974805_335240683_2_0_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=-3092186&dest_type=city&group_adults=2&group_children=0&hapos=32&highlighted_blocks=763974805_335240683_2_0_0&hpos=7&no_rooms=1&sr_order=popularity&sr_pri_blocks=763974805_335240683_2_0_0__19500&srepoch=1634546802&srpvid=e3fd3db9c59f01ca&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl","2 single beds"
"Pullman Zamzam Madina","Central Madinah, Al Madinah Show on map","SAR 260","1 night, 2 adults","Classic King Room with Patio View","1 extra-large double bed","8.1","Very good","12,791 reviews","/hotel/sa/pullman-zamzam-madina.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=1dbd214cfef8ab47d89141c96a2528af&all_sr_blocks=127933742_95481728_2_42_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=-3092186&dest_type=city&group_adults=2&group_children=0&hapos=33&highlighted_blocks=127933742_95481728_2_42_0&hpos=8&no_rooms=1&sr_order=popularity&sr_pri_blocks=127933742_95481728_2_42_0__26000&srepoch=1634546802&srpvid=e3fd3db9c59f01ca&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl","1 extra-large double bed"
"Al Rawda Al Aqeeq Hotel","Central Madinah, Al Madinah Show on map","SAR 130","1 night, 2 adults","Standard Twin Room","2 single beds","7.2","Good","3,519 reviews","/hotel/sa/rawdat-al-aqiq-al-madinah1.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=1dbd214cfef8ab47d89141c96a2528af&all_sr_blocks=202284801_94728138_0_2_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=-3092186&dest_type=city&group_adults=2&group_children=0&hapos=34&highlighted_blocks=202284801_94728138_0_2_0&hpos=9&no_rooms=1&sr_order=popularity&sr_pri_blocks=202284801_94728138_0_2_0__12960&srepoch=1634546802&srpvid=e3fd3db9c59f01ca&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl","2 single beds"
