"name","location","price","price_for","room_type","beds","rating","rating_title","number_of_ratings","url","cm"
"Beautiful world houses 88","Dammam Show on map","SAR 66","1 night, 2 adults","Triple Room with Private Bathroom","3 single beds","4.5","Review score","21 reviews","/hotel/sa/nouf-furnished-apartments-dammam.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AEB6AEB-AEMiAIBqAIDuALCxJ31BcACAdgCAg&sid=41e029bb4b4a055ec48c44a45569d3cb&all_sr_blocks=192676322_195341699_3_0_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=-3091069&dest_type=city&from_beach_non_key_ufi_sr=1&group_adults=2&group_children=0&hapos=48&highlighted_blocks=192676322_195341699_3_0_0&hpos=23&no_rooms=1&sr_order=popularity&sr_pri_blocks=192676322_195341699_3_0_0__6555&srepoch=1634545014&srpvid=a87e3a3b9dbc000b&ucfs=1&sig=v1Cd1Z6tbi&from=searchresults
;highlight_room=#hotelTmpl","3 single beds"
"Tripper Inn","Dammam Show on map","SAR 304","1 night, 2 adults","Large Twin Room","2 single beds","9.0","Superb","809 reviews","/hotel/sa/tripper-inn.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AEB6AEB-AEMiAIBqAIDuALCxJ31BcACAdgCAg&sid=41e029bb4b4a055ec48c44a45569d3cb&all_sr_blocks=535635406_295462481_2_0_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=-3091069&dest_type=city&from_beach_non_key_ufi_sr=1&group_adults=2&group_children=0&hapos=49&highlighted_blocks=535635406_295462481_2_0_0&hpos=24&no_rooms=1&sr_order=popularity&sr_pri_blocks=535635406_295462481_2_0_0__30400&srepoch=1634545014&srpvid=a87e3a3b9dbc000b&ucfs=1&sig=v1abFT5ag6&from=searchresults
;highlight_room=#hotelTmpl","2 single beds"
"Ghosn Al Banafsej Hotel Suites","Dammam Show on map","SAR 155","1 night, 2 adults","One-Bedroom Suite","1 extra-large double bed","7.4","Good","848 reviews","/hotel/sa/ghosn-al-banafsej.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AEB6AEB-AEMiAIBqAIDuALCxJ31BcACAdgCAg&sid=41e029bb4b4a055ec48c44a45569d3cb&all_sr_blocks=192774410_117582758_2_0_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=-3091069&dest_type=city&from_beach_non_key_ufi_sr=1&group_adults=2&group_children=0&hapos=50&highlighted_blocks=192774410_117582758_2_0_0&hpos=25&no_rooms=1&sr_order=popularity&sr_pri_blocks=192774410_117582758_2_0_0__15500&srepoch=1634545014&srpvid=a87e3a3b9dbc000b&ucfs=1&sig=v1cs4ZRUAK&from=searchresults
;highlight_room=#hotelTmpl","Private suite­ •­ 1 bedroom •­ 1 living room •­ 1 bathroom •­ 49m² 1 extra-large double bed"
"DALLA House Suites","Dammam Show on map","SAR 245","1 night, 2 adults","Studio","Beds: 1 double or 2 singles","6.4","Review score","80 reviews","/hotel/sa/dalla-house-apart-dammam1.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AEB6AEB-AEMiAIBqAIDuALCxJ31BcACAdgCAg&sid=41e029bb4b4a055ec48c44a45569d3cb&all_sr_blocks=333873701_115994208_2_0_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=-3091069&dest_type=city&from_beach_non_key_ufi_sr=1&group_adults=2&group_children=0&hapos=51&highlighted_blocks=333873701_115994208_2_0_0&hpos=26&no_rooms=1&sr_order=popularity&sr_pri_blocks=333873701_115994208_2_0_0__24500&srepoch=1634545014&srpvid=a87e3a3b9dbc000b&ucfs=1&sig=v1oM20c07B&from=searchresults
;highlight_room=#hotelTmpl","Entire studio­ •­ 1 bathroom •­ 32m² Beds: 1 double or 2 singles"
"Inwan Residential Units","Dammam Show on map","SAR 150","1 night, 2 adults","Family Room","1 extra-large double bed","6.1","Review score","121 reviews","/hotel/sa/inwan-residential-units.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AEB6AEB-AEMiAIBqAIDuALCxJ31BcACAdgCAg&sid=41e029bb4b4a055ec48c44a45569d3cb&all_sr_blocks=172683707_336267524_2_0_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=-3091069&dest_type=city&from_beach_non_key_ufi_sr=1&group_adults=2&group_children=0&hapos=52&highlighted_blocks=172683707_336267524_2_0_0&hpos=27&no_rooms=1&sr_order=popularity&sr_pri_blocks=172683707_336267524_2_0_0__15000&srepoch=1634545014&srpvid=a87e3a3b9dbc000b&ucfs=1&sig=v1lIimqDYM&from=searchresults
;highlight_room=#hotelTmpl","1 extra-large double bed"
"أورينتال رزيدنس الدمام","Dammam Show on map","SAR 370","1 night, 2 adults","Deluxe Double Room","1 extra-large double bed","8.5","Very good","219 reviews","/hotel/sa/wryntl-rzydns-ldmm.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AEB6AEB-AEMiAIBqAIDuALCxJ31BcACAdgCAg&sid=5c8a192522209b576746f591be61007a&all_sr_blocks=696600801_333293315_0_0_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=-3091069&dest_type=city&from_beach_non_key_ufi_sr=1&group_adults=2&group_children=0&hapos=1&highlighted_blocks=696600801_333293315_0_0_0&hpos=1&no_rooms=1&sr_order=popularity&sr_pri_blocks=696600801_333293315_0_0_0__37000&srepoch=1634545259&srpvid=6d713ab5692f0020&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl","1 extra-large double bed"
"Wyndham Garden Dammam","Dammam Show on map","SAR 320","1 night, 2 adults","Superior Room - Smoking","1 extra-large double bed","8.4","Very good","6,865 reviews","/hotel/sa/wyndham-garden-dammam.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AEB6AEB-AEMiAIBqAIDuALCxJ31BcACAdgCAg&sid=5c8a192522209b576746f591be61007a&all_sr_blocks=426431402_246025706_2_2_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=-3091069&dest_type=city&from_beach_non_key_ufi_sr=1&group_adults=2&group_children=0&hapos=2&highlighted_blocks=426431402_246025706_2_2_0&hpos=2&no_rooms=1&sr_order=popularity&sr_pri_blocks=426431402_246025706_2_2_0__32000&srepoch=1634545259&srpvid=6d713ab5692f0020&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl","1 extra-large double bed"
"Ramada by Wyndham Dammam Khaleej Road","Dammam Show on map","SAR 210","1 night, 2 adults","Queen Room - Smoking","1 large double bed","6.9","Review score","4,815 reviews","/hotel/sa/ramada-dammam-suites.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AEB6AEB-AEMiAIBqAIDuALCxJ31BcACAdgCAg&sid=5c8a192522209b576746f591be61007a&all_sr_blocks=18381132_88958527_2_42_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=-3091069&dest_type=city&from_beach_non_key_ufi_sr=1&group_adults=2&group_children=0&hapos=3&highlighted_blocks=18381132_88958527_2_42_0&hpos=3&no_rooms=1&sr_order=popularity&sr_pri_blocks=18381132_88958527_2_42_0__21000&srepoch=1634545259&srpvid=6d713ab5692f0020&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl","1 large double bed"
"Q Economy Rooms","Dammam Show on map","SAR 90","1 night, 2 adults","Economy Double Room","2 single beds","6.3","Review score","738 reviews","/hotel/sa/q-lgrf-l-zb.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AEB6AEB-AEMiAIBqAIDuALCxJ31BcACAdgCAg&sid=5c8a192522209b576746f591be61007a&all_sr_blocks=485352406_338119417_2_0_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=-3091069&dest_type=city&from_beach_non_key_ufi_sr=1&group_adults=2&group_children=0&hapos=4&highlighted_blocks=485352406_338119417_2_0_0&hpos=4&no_rooms=1&sr_order=popularity&sr_pri_blocks=485352406_338119417_2_0_0__9000&srepoch=1634545259&srpvid=6d713ab5692f0020&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl","2 single beds"
"TIME Dammam Residence","Dammam Show on map","SAR 250","1 night, 2 adults","One-Bedroom Apartment","1 extra-large double bed","7.9","Good","969 reviews","/hotel/sa/time-dammam-residence.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AEB6AEB-AEMiAIBqAIDuALCxJ31BcACAdgCAg&sid=5c8a192522209b576746f591be61007a&all_sr_blocks=478791013_246020747_0_0_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=-3091069&dest_type=city&from_beach_non_key_ufi_sr=1&group_adults=2&group_children=0&hapos=5&highlighted_blocks=478791013_246020747_0_0_0&hpos=5&no_rooms=1&sr_order=popularity&sr_pri_blocks=478791013_246020747_0_0_0__25000&srepoch=1634545259&srpvid=6d713ab5692f0020&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl","Entire apartment­ •­ 1 bedroom •­ 1 living room •­ 1 bathroom •­ 65m² 1 extra-large double bed"
"Novotel Dammam Business Park","Dammam Show on map","SAR 340","1 night, 2 adults","Standard Double Room","1 large double bed","7.9","Good","1,504 reviews","/hotel/sa/novotel-dammam-business-park.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AEB6AEB-AEMiAIBqAIDuALCxJ31BcACAdgCAg&sid=5c8a192522209b576746f591be61007a&all_sr_blocks=31635701_94405817_2_42_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=-3091069&dest_type=city&from_beach_non_key_ufi_sr=1&group_adults=2&group_children=0&hapos=6&highlighted_blocks=31635701_94405817_2_42_0&hpos=6&no_rooms=1&sr_order=popularity&sr_pri_blocks=31635701_94405817_2_42_0__34000&srepoch=1634545259&srpvid=6d713ab5692f0020&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl","1 large double bed"
"Swiss International Al Hamra Hotel","Dammam Show on map","SAR 264","1 night, 2 adults","Deluxe Twin Room","2 single beds","7.2","Good","1,607 reviews","/hotel/sa/golden-tulip-al-hamra.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AEB6AEB-AEMiAIBqAIDuALCxJ31BcACAdgCAg&sid=5c8a192522209b576746f591be61007a&all_sr_blocks=7253510_94050911_2_41_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=-3091069&dest_type=city&from_beach_non_key_ufi_sr=1&group_adults=2&group_children=0&hapos=7&highlighted_blocks=7253510_94050911_2_41_0&hpos=7&no_rooms=1&sr_order=popularity&sr_pri_blocks=7253510_94050911_2_41_0__26400&srepoch=1634545259&srpvid=6d713ab5692f0020&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl","2 single beds"
"Sheraton Dammam Hotel & Convention Centre","Dammam Show on map","SAR 465","1 night, 2 adults","Classic Room, Guest room, 1 King, City view, Low floor","1 extra-large double bed","7.4","Good","1,957 reviews","/hotel/sa/sheraton-dammam-towers.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AEB6AEB-AEMiAIBqAIDuALCxJ31BcACAdgCAg&sid=5c8a192522209b576746f591be61007a&all_sr_blocks=4167122_94104803_0_42_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=-3091069&dest_type=city&from_beach_non_key_ufi_sr=1&group_adults=2&group_children=0&hapos=8&highlighted_blocks=4167122_94104803_0_42_0&hpos=8&no_rooms=1&sr_order=popularity&sr_pri_blocks=4167122_94104803_0_42_0__46500&srepoch=1634545259&srpvid=6d713ab5692f0020&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl","1 extra-large double bed"
"Lavona Hotel Dammam","Dammam Show on map","SAR 199","1 night, 2 adults","Standard Double Room","1 double bed","7.9","Good","1,243 reviews","/hotel/sa/lavona.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AEB6AEB-AEMiAIBqAIDuALCxJ31BcACAdgCAg&sid=5c8a192522209b576746f591be61007a&all_sr_blocks=55113901_285064204_0_2_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=-3091069&dest_type=city&from_beach_non_key_ufi_sr=1&group_adults=2&group_children=0&hapos=9&highlighted_blocks=55113901_285064204_0_2_0&hpos=9&no_rooms=1&sr_order=popularity&sr_pri_blocks=55113901_285064204_0_2_0__19900&srepoch=1634545259&srpvid=6d713ab5692f0020&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl","1 double bed"
"Normina Hotel Suites","Dammam Show on map","SAR 280","1 night, 2 adults","Deluxe King Room","1 extra-large double bed","9.1","Superb","829 reviews","/hotel/sa/normina.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AEB6AEB-AEMiAIBqAIDuALCxJ31BcACAdgCAg&sid=5c8a192522209b576746f591be61007a&all_sr_blocks=329201304_117884346_0_0_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=-3091069&dest_type=city&from_beach_non_key_ufi_sr=1&group_adults=2&group_children=0&hapos=10&highlighted_blocks=329201304_117884346_0_0_0&hpos=10&no_rooms=1&sr_order=popularity&sr_pri_blocks=329201304_117884346_0_0_0__28000&srepoch=1634545259&srpvid=6d713ab5692f0020&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl","1 extra-large double bed"
"Braira Dammam Hotel","Dammam Show on map","SAR 551","1 night, 2 adults","Deluxe King Room","1 large double bed","8.9","Fabulous","2,736 reviews","/hotel/sa/braira-dammam.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AEB6AEB-AEMiAIBqAIDuALCxJ31BcACAdgCAg&sid=5c8a192522209b576746f591be61007a&all_sr_blocks=337570402_187589741_0_0_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=-3091069&dest_type=city&from_beach_non_key_ufi_sr=1&group_adults=2&group_children=0&hapos=11&highlighted_blocks=337570402_187589741_0_0_0&hpos=11&no_rooms=1&sr_order=popularity&sr_pri_blocks=337570402_187589741_0_0_0__55100&srepoch=1634545259&srpvid=6d713ab5692f0020&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl","1 large double bed"
"Howard Johnson Dammam Hotel","Dammam Show on map","SAR 333","1 night, 2 adults","King Room with Sea View - Non-Smoking","","7.7","Good","1,869 reviews","/hotel/sa/johnson-cornich-hotel-dammam.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AEB6AEB-AEMiAIBqAIDuALCxJ31BcACAdgCAg&sid=5c8a192522209b576746f591be61007a&all_sr_blocks=35241720_88675729_2_2_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=-3091069&dest_type=city&from_beach_non_key_ufi_sr=1&group_adults=2&group_children=0&hapos=12&highlighted_blocks=35241720_88675729_2_2_0&hpos=12&no_rooms=1&sr_order=popularity&sr_pri_blocks=35241720_88675729_2_2_0__33300&srepoch=1634545259&srpvid=6d713ab5692f0020&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl",""
"Aros Al Faisaliah Furnished Units","Dammam Show on map","SAR 224","1 night, 2 adults","Studio Apartment","1 extra-large double bed","7.7","Good","264 reviews","/hotel/sa/aros-alfaisaliah-furnished-units.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AEB6AEB-AEMiAIBqAIDuALCxJ31BcACAdgCAg&sid=5c8a192522209b576746f591be61007a&all_sr_blocks=153050801_89557385_0_2_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=-3091069&dest_type=city&from_beach_non_key_ufi_sr=1&group_adults=2&group_children=0&hapos=13&highlighted_blocks=153050801_89557385_0_2_0&hpos=13&no_rooms=1&sr_order=popularity&sr_pri_blocks=153050801_89557385_0_2_0__22410&srepoch=1634545259&srpvid=6d713ab5692f0020&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl","Entire apartment­ •­ 1 bedroom •­ 1 bathroom •­ 30m² 1 extra-large double bed"
"Watheer Hotel Suite","Dammam Show on map","SAR 275","1 night, 2 adults","One-Bedroom Apartment with King Bed","1 extra-large double bed","7.1","Good","830 reviews","/hotel/sa/wather-apartment.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AEB6AEB-AEMiAIBqAIDuALCxJ31BcACAdgCAg&sid=5c8a192522209b576746f591be61007a&all_sr_blocks=36547901_86389453_0_2_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=-3091069&dest_type=city&from_beach_non_key_ufi_sr=1&group_adults=2&group_children=0&hapos=14&highlighted_blocks=36547901_86389453_0_2_0&hpos=14&no_rooms=1&sr_order=popularity&sr_pri_blocks=36547901_86389453_0_2_0__27500&srepoch=1634545259&srpvid=6d713ab5692f0020&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl","Entire apartment­ •­ 1 bedroom •­ 1 bathroom •­ 45m² 1 extra-large double bed"
